Do you drink coffee?;How often do you drink coffee?;How many cups of coffee do you usually drink per day?;At what time do you usually have your first coffee of the day?;Where do you most often drink coffee?;How do you usually prepare or get your coffee?;What type of coffee (coffee drink) do you drink most often?;What do you usually add to your coffee?;Do you prefer your coffee strong or mild?;What are your main reasons for drinking coffee? ;Do you experience any negative effects from drinking coffee?;In your opinion, what is the overall impact of coffee on health?;Which of the following statements best describes your relationship with coffee? ;Why don’t you drink coffee?;What do you drink instead of coffee?;Age group;Gender;Country of residence;Cleaned Country;ISO Code
No;;;;;;;;;;;;;I don’t like the taste;Tea;18-24;Female;ooo south africa!;South Africa;ZA
Yes;Rarely/Occasionally;1;Right after waking up (~5–9 AM);To go (on the way, e.g., in the car or on public transport);Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Classic black coffee (black coffee without milk, e.g., Americano, drip coffee);Sugar / sweetener;Rather mild;Taste and enjoyment – I simply like the taste of coffee;Stomach issues (acid reflux, heartburn, stomach pain);Mixed – coffee has both pros and cons for health;I’m a true coffee enthusiast – I’m passionate about its flavors and brewing methods.;;;25-34;Female;england;United Kingdom;GB
Yes;Several times a week;1;Right after waking up (~5–9 AM);No single dominant place;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Other (your favorite coffee type not listed above);Sugar / sweetener;Definitely strong (very intense flavor / high caffeine content);Energy / stimulation – to wake up, get an energy boost, Concentration – coffee helps me focus and work more effectively;Sleep problems (e.g., insomnia or difficulty falling asleep), Heart palpitations / rapid heartbeat;Mixed – coffee has both pros and cons for health;I’m a true coffee enthusiast – I’m passionate about its flavors and brewing methods.;;;18-24;Female;norge;Norway;NO
No;;;;;;;;;;;;;For health reasons (e.g., doctor advised against it);Tea;25-34;Female;uk;United Kingdom;GB
Yes;Several times a week;3–4;Late morning (9–12);No single dominant place;French press / moka pot (plunger pot or moka pot);Instant coffee (soluble, in a cup);Sugar / sweetener;Definitely strong (very intense flavor / high caffeine content);Relaxation – it’s a moment of pause and rest;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;I can’t imagine a day without coffee – I need it to function properly.;;;18-24;Male;us;United States;US
Yes;Several times a month;2;Right after waking up (~5–9 AM);In a café (on site);I buy ready-made coffee (don’t brew it myself, e.g., from a café or vending machine);Caffè latte / Latte macchiato (coffee with a large amount of milk);Sugar / sweetener;Rather strong;Routine / habit – I drink it out of habit, it’s part of my daily routine, Concentration – coffee helps me focus and work more effectively;No, I don’t experience any negative effects;I have no opinion / hard to say;I can’t imagine a day without coffee – I need it to function properly.;;;35-44;Female;hyngary;Hungary;HU
Yes;Once a week;2;Within the first hour after waking up (~6–10 AM);At home;Traditional boiled coffee (“Turkish style” or grounds brewed directly);Iced or dessert coffee (cold, e.g., frappé, iced cold brew, etc.);Milk or cream (dairy);It depends – I don’t have a fixed preference (e.g., depends on the time of day);Taste and enjoyment – I simply like the taste of coffee, Routine / habit – I drink it out of habit, it’s part of my daily routine;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;I like coffee, but I could do without it – it’s not a necessity.;;;45-54;Male;bulgaria;Bulgaria;BG
Yes;Every day;3–4;Late morning (9–12);In a café (on site);Instant coffee (soluble – with hot water);Caffè latte / Latte macchiato (coffee with a large amount of milk);Milk or cream (dairy);Rather strong;Routine / habit – I drink it out of habit, it’s part of my daily routine;No, I don’t experience any negative effects;I have no opinion / hard to say;I like coffee, but I could do without it – it’s not a necessity.;;;25-34;Female;roi;Ireland;IE
No;;;;;;;;;;;;;It makes me feel unwell (e.g., jittery, stomach discomfort);Other;25-34;Female;suomi;Finland;FI
No;;;;;;;;;;;;;I don’t need caffeine / I prefer other drinks;Tea;25-34;Female;usa;United States;US
No;;;;;;;;;;;;;It makes me feel unwell (e.g., jittery, stomach discomfort);Tea;18-24;Prefer not to say;gb;United Kingdom;GB
Yes;Every day;3–4;Within the first hour after waking up (~6–10 AM);At home;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Cappuccino (coffee with milk and foam, classic cappuccino);Other;Rather strong;Taste and enjoyment – I simply like the taste of coffee, Routine / habit – I drink it out of habit, it’s part of my daily routine;Sleep problems (e.g., insomnia or difficulty falling asleep), Stomach issues (acid reflux, heartburn, stomach pain);Mixed – coffee has both pros and cons for health;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Female;pl;Poland;PL
Yes;Every day;1;Early afternoon (12–3 PM);At home;Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Classic black coffee (black coffee without milk, e.g., Americano, drip coffee);Spices (e.g., cinnamon, cardamom);Definitely strong (very intense flavor / high caffeine content);Routine / habit – I drink it out of habit, it’s part of my daily routine, Energy / stimulation – to wake up, get an energy boost;Stomach issues (acid reflux, heartburn, stomach pain);Negative – drinking coffee mostly harms health (e.g., causes issues);I can’t imagine a day without coffee – I need it to function properly.;;;18-24;Male;U S A;United States;US
Yes;Several times a month;1;Right after waking up (~5–9 AM);At home;I buy ready-made coffee (don’t brew it myself, e.g., from a café or vending machine);Other white coffee (with milk, but less milk than a latte, e.g., flat white, “coffee with milk”);Milk or cream (dairy);Rather mild;Energy / stimulation – to wake up, get an energy boost;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;I’m a true coffee enthusiast – I’m passionate about its flavors and brewing methods.;;;18-24;Male;USA;United States;US
Yes;Several times a week;1;Right after waking up (~5–9 AM);At work / school / university;I buy ready-made coffee (don’t brew it myself, e.g., from a café or vending machine);Classic black coffee (black coffee without milk, e.g., Americano, drip coffee);Nothing – I drink it black (without additives);Definitely mild (light flavor or low caffeine content);Concentration – coffee helps me focus and work more effectively;No, I don’t experience any negative effects;Positive – drinking coffee mostly benefits health (e.g., health properties);"Coffee is just a drink to me; I don’t give it much thought.";;;18-24;Male;US;United States;US
Yes;Every day;2;Late morning (9–12);In a café (on site);Espresso machine (manual or automatic) – e.g., at home or from a barista in a café;Iced or dessert coffee (cold, e.g., frappé, iced cold brew, etc.);Milk or cream (dairy);Rather strong;Taste and enjoyment – I simply like the taste of coffee;No, I don’t experience any negative effects;I have no opinion / hard to say;I’m a true coffee enthusiast – I’m passionate about its flavors and brewing methods.;;;18-24;Male;denmark;Denmark;DK
No;;;;;;;;;;;;;It makes me feel unwell (e.g., jittery, stomach discomfort);Water;25-34;Male;de;Germany;DE
Yes;Several times a week;1;Within the first hour after waking up (~6–10 AM);At work / school / university;I buy ready-made coffee (don’t brew it myself, e.g., from a café or vending machine);Other white coffee (with milk, but less milk than a latte, e.g., flat white, “coffee with milk”);Sugar / sweetener;Rather mild;Routine / habit – I drink it out of habit, it’s part of my daily routine;No, I don’t experience any negative effects;Mixed – coffee has both pros and cons for health;Coffee is an important part of my day – my morning ritual, a moment for myself.;;;45-54;Female;de;Germany;DE
Yes;Several times a week;2;Late morning (9–12);At work / school / university;Instant coffee (soluble – with hot water);Other white coffee (with milk, but less milk than a latte, e.g., flat white, “coffee with milk”);Sugar / sweetener;It depends – I don’t have a fixed preference (e.g., depends on the time of day);Taste and enjoyment – I simply like the taste of coffee;No, I don’t experience any negative effects;Positive – drinking coffee mostly benefits health (e.g., health properties);Coffee is an important part of my day – my morning ritual, a moment for myself.;;;18-24;Female;Nepal;Nepal;NP
